TEAM1_WIN,AST%_TEAM1,LAST_TEAM1,FT%_TEAM1,EXP_TEAM1,BARTHAG_TEAM1,WAB_TEAM1,CONSISTENCY TR RATING_TEAM1,SEED_TEAM1,BADJ EM_TEAM1,TR RANK_TEAM1,AST%_TEAM2,LAST_TEAM2,FT%_TEAM2,EXP_TEAM2,BARTHAG_TEAM2,WAB_TEAM2,CONSISTENCY TR RATING_TEAM2,SEED_TEAM2,BADJ EM_TEAM2,TR RANK_TEAM2
1,58.0,7.0,69.7,1.824,0.958,6.9,10.6,2.0,27.105,7.0,45.7,42.0,70.1,1.724,0.856,1.9,10.6,7.0,16.17,42.0
0,60.0,17.0,70.6,2.07,0.898,0.21,9.9,9.0,19.451,17.0,51.5,9.0,75.4,2.174,0.931,6.6,9.4,1.0,23.59,9.0
1,51.5,8.0,78.4,2.094,0.913,3.4,13.5,4.0,23.114,8.0,45.2,66.0,75.3,2.618,0.773,1.3,8.1,12.0,11.238,66.0
1,53.4,33.0,79.0,2.275,0.865,0.9,10.8,6.0,17.379,33.0,53.9,15.0,74.0,1.617,0.91,5.1,9.6,3.0,22.309,15.0
1,59.1,4.0,71.9,1.963,0.953,4.9,13.3,2.0,27.901,4.0,58.3,45.0,73.4,2.205,0.855,2.6,7.8,7.0,16.782,45.0
1,49.1,1.0,69.4,2.28,0.979,10.6,8.9,1.0,33.697,1.0,44.5,40.0,70.9,2.393,0.85,0.25,11.6,9.0,16.089,40.0
1,53.8,10.0,72.2,1.152,0.927,3.3,9.7,4.0,23.968,10.0,54.3,63.0,70.5,2.428,0.778,1.5,9.4,12.0,11.554,63.0
0,53.3,147.0,75.8,2.571,0.585,-4.2,10.5,14.0,3.176,147.0,46.1,60.0,73.4,2.403,0.798,-0.6,8.1,11.0,12.835,60.0
0,56.1,22.0,77.8,2.2,0.886,1.7,10.0,10.0,19.175,22.0,54.3,13.0,71.5,1.872,0.933,6.5,10.3,2.0,24.325,13.0
0,56.4,57.0,71.2,1.918,0.815,3.3,9.2,8.0,13.786,57.0,64.5,3.0,72.1,1.864,0.964,11.0,8.4,1.0,31.493,3.0
0,66.5,18.0,72.9,2.102,0.911,4.3,12.5,4.0,20.833,18.0,52.1,16.0,72.6,1.84,0.915,2.5,9.4,5.0,22.623,16.0
0,50.7,48.0,71.5,1.969,0.815,1.4,8.3,11.0,13.701,48.0,58.6,12.0,78.1,2.322,0.929,4.4,11.5,3.0,24.145,12.0
1,61.2,6.0,74.9,2.262,0.938,5.8,11.0,2.0,24.368,6.0,56.5,23.0,75.7,2.288,0.901,1.2,10.0,7.0,20.759,23.0
0,50.8,32.0,72.9,2.508,0.879,2.6,10.2,5.0,17.67,32.0,63.7,2.0,74.2,1.709,0.971,11.3,10.8,1.0,33.493,2.0
0,58.0,7.0,69.7,1.824,0.958,6.9,10.6,2.0,27.105,7.0,44.4,11.0,74.5,2.444,0.922,6.0,8.1,3.0,24.236,11.0
1,51.5,8.0,78.4,2.094,0.913,3.4,13.5,4.0,23.114,8.0,51.5,9.0,75.4,2.174,0.931,6.6,9.4,1.0,23.59,9.0
0,59.1,4.0,71.9,1.963,0.953,4.9,13.3,2.0,27.901,4.0,53.4,33.0,79.0,2.275,0.865,0.9,10.8,6.0,17.379,33.0
1,53.8,10.0,72.2,1.152,0.927,3.3,9.7,4.0,23.968,10.0,49.1,1.0,69.4,2.28,0.979,10.6,8.9,1.0,33.697,1.0
0,54.3,13.0,71.5,1.872,0.933,6.5,10.3,2.0,24.325,13.0,46.1,60.0,73.4,2.403,0.798,-0.6,8.1,11.0,12.835,60.0
1,64.5,3.0,72.1,1.864,0.964,11.0,8.4,1.0,31.493,3.0,52.1,16.0,72.6,1.84,0.915,2.5,9.4,5.0,22.623,16.0
0,58.6,12.0,78.1,2.322,0.929,4.4,11.5,3.0,24.145,12.0,61.2,6.0,74.9,2.262,0.938,5.8,11.0,2.0,24.368,6.0
0,44.4,11.0,74.5,2.444,0.922,6.0,8.1,3.0,24.236,11.0,63.7,2.0,74.2,1.709,0.971,11.3,10.8,1.0,33.493,2.0
1,51.5,8.0,78.4,2.094,0.913,3.4,13.5,4.0,23.114,8.0,53.4,33.0,79.0,2.275,0.865,0.9,10.8,6.0,17.379,33.0
1,46.1,60.0,73.4,2.403,0.798,-0.6,8.1,11.0,12.835,60.0,53.8,10.0,72.2,1.152,0.927,3.3,9.7,4.0,23.968,10.0
1,64.5,3.0,72.1,1.864,0.964,11.0,8.4,1.0,31.493,3.0,61.2,6.0,74.9,2.262,0.938,5.8,11.0,2.0,24.368,6.0
1,63.7,2.0,74.2,1.709,0.971,11.3,10.8,1.0,33.493,2.0,51.5,8.0,78.4,2.094,0.913,3.4,13.5,4.0,23.114,8.0
1,64.5,3.0,72.1,1.864,0.964,11.0,8.4,1.0,31.493,3.0,46.1,60.0,73.4,2.403,0.798,-0.6,8.1,11.0,12.835,60.0
